MOUNT BULLER,,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Snow Making Depth,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2016 Natural Snow Depth,2016 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2015 Natural Snow Depth,2015 Average depth in snow-making area (61 ha),+ means that snowmaking depth is = or > than natural snow depth,2014 Natural Snow Depth,2014 Average depth in snow-making area (61 ha),,2013 Natural Snow Depth,2013 Average depth in snow-making area (61 ha),,2012 Natural Snow Depth,2012 Average depth in snow-making area (100 ha),,2011 Natural Snow Depth,2011 Average depth in snow-making area (100 ha),,2010 Natural Snow Depth,2010 Average depth in snow-making area (61 ha),,2009 Natural Snow Depth,2009 Average depth in snow-making area (61 ha),,2008 Natural Snow Depth,2008 Average depth in snow-making area (61 ha),BLANK,2007 Natural Snow Depth,2007 Average depth in snow-making area (61 ha),BLANK,2006 Natural Snow Depth,2006 Average depth in snow-making area (61 ha),,2005,BLANK,BLANK,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,9/7,,71.00,45,33,49,,39,80,+,5,42,,74,77,,29,41,,39,78,+,57,93,+,25,67,,52,74,,46,62,,83,96,,0,28,,40,,,80,18,66,0,56,12,21,12,33,42,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,10/7,10-Jul,72.20,46,35,51,,35,70,+,5,42,,93,97,,28,42,,37,76,+,59,95,+,25,67,,52,74,,46,63,,83,96,,0,30,,45,,,80,18,70,0,56,11,32,18,33,42,22,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,11/7,,70.90,45,37,53,,31,66,+,5,42,,93,97,,28,42,,34,72,+,61,97,+,16,55,,50,72,,53,70,,83,96,,6,36,,43,,,78,17,70,0,60,11,32,18,33,52,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul,12/7,,71.60,48,38,54,,31,60,+,26,50,,94,98,,29,43,,34,72,+,61,100,+,16,55,,47,70,,54,72,,83,96,,13,40,,43,,,85,14,73,0,60,10,32,18,38,60,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul,13/7,,75.30,49,38,54,,44,69,+,28,52,,97,103,,29,47,,26,72,+,63,100,+,8,55,,57,79,,54,80,,83,96,,13,43,,44,,,85,17,72,0,60,10,32,18,40,63,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul,14/7,,80.60,54,39,55,,53,81,+,34,55,,97,105,,29,47,,26,72,+,66,105,+,32,75,,61,85,,57,83,,85,98,,13,43,,47,,,86,17,70,0,60,10,32,18,40,68,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul,15/7,,80.40,54,40,57,,55,85,+,35,55,,97,105,,14,30,,31,74,+,65,105,+,33,75,,68,94,,57,83,,85,98,,13,43,,53,,,86,17,70,4,66,10,32,18,40,74,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jul,16/7,,80.50,54,41,58,,55,86,+,36,55,,100,105,,9,27,,31,74,+,65,105,+,33,76,,68,96,,57,83,,85,98,,5,38,,51,,,86,17,68,3,66,10,31,24,40,76,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jul,17/7,17-Jul,80.80,54,41,58,,55,86,+,37,55,,104,111,,9,27,,28,71,+,65,105,+,36,76,,69,97,,50,78,,85,102,,2,35,,58,,,92,16,75,10,66,10,30,25,40,76,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jul,18/7,,82.90,56,43,60,,52,85,+,37,56,,108,114,,9,25,,28,71,+,73,114,+,33,76,,69,98,,58,80,,91,110,,2,30,,58,,,94,16,77,12,66,10,30,25,42,82,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul,19/7,,83.80,56,49,66,,45,75,+,37,56,,108,115,,0,15,,28,71,+,89,130,+,39,82,,69,98,,56,84,,92,112,,2,30,,58,,,94,16,77,12,80,31,30,25,40,92,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul,20/7,,82.10,55,52,69,,35,65,+,37,56,,108,115,+,6,10,+,28,72,+,75,116,+,39,85,,74,106,,56,84,,92,112,,0,30,,58,,,94,16,75,12,85,31,30,23,40,93,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul,21/7,,83.00,55,57,74,,31,60,+,35,54,,108,120,+,6,10,+,27,71,+,70,116,+,39,88,,72,104,,69,95,,92,112,,0,30,,55,,,94,16,80,10,92,35,27,22,44,93,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jul,22/7,,85.50,56,59,76,,25,50,+,31,53,,108,121,,31,43,,27,71,+,70,116,+,39,89,,66,98,,70,102,,92,112,,0,30,,55,,,94,13,80,10,97,39,29,22,49,93,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jul,23/7,,88.10,57,59,76,,37,70,+,32,53,,106,122,,31,43,,27,68,+,70,116,+,39,89,,71,100,,70,108,,92,112,,0,30,,54,,,94,13,80,10,97,39,29,22,52,97,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jul,24/7,24-Jul,87.90,57,60,76,,37,70,+,32,53,,104,122,,30,44,,27,71,+,71,117,+,35,84,,71,100,,70,106,,92,112,,1,32,,52,,,96,24,80,8,97,39,28,20,58,97,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,25/7,,87.90,58,61,76,,41,70,+,37,58,,104,122,,29,44,,27,68,+,75,120,+,32,78,,71,101,,70,106,,92,112,,1,32,,51,,,106,50,82,6,97,39,25,20,58,97,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul,26/7,,91.20,60,60,76,,48,80,+,46,70,,104,122,,29,44,,27,71,+,76,120,+,30,75,,71,103,,74,115,,92,112,,1,32,,47,,,107,56,82,6,102,39,23,19,58,97,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul,27/7,,92.40,60,60,76,,50,82,+,52,80,,102,120,,29,44,,33,75,+,76,120,+,30,77,,71,103,,75,118,,85,105,,0,32,,40,,,108,60,80,5,110,39,20,16,58,97,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,28/7,,92.90,61,65,80,,53,84,+,52,80,,101,119,,29,44,,33,75,+,76,120,+,28,75,,73,105,,75,120,,87,107,,0,32,,38,,,112,60,80,5,110,38,0,16,52,97,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jul,29/7,,92.70,60,67,82,,55,84,+,56,82,,100,118,,20,38,,33,75,+,76,122,+,27,74,,73,105,,75,122,,87,107,,0,30,,38,,,112,64,77,4,110,39,0,19,50,105,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jul,30/7,,89.70,57,67,82,,50,81,+,56,82,,87,106,,10,28,,33,75,+,76,122,+,22,70,,72,104,,75,122,,87,107,,0,30,,37,,,112,74,74,4,108,39,0,19,50,109,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul,31/7,31-Jul,90.50,57,62,80,,58,89,+,56,82,,85,104,,10,28,,33,77,+,73,120,+,22,70,,74,106,,75,122,,87,107,,13,43,,36,,,112,75,74,4,105,42,0,19,50,111,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,1/8,,90.00,56,60,79,,54,87,+,53,82,,82,104,,10,28,,33,77,+,66,114,+,27,73,,74,106,,75,122,,87,107,,18,48,,31,,,112,75,73,12,103,42,58,19,50,120,48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aug,2/8,,91.90,59,59,79,,60,95,+,45,74,,96,117,,10,24,,33,77,+,65,113,+,48,85,,73,105,,78,125,,82,104,,18,50,,30,,,114,75,72,12,101,42,56,18,60,130,50,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
