MOUNT STIRLING,,,,"SNOW DEPTHS - NATURAL FROM 1993, SNOW-MAKING FROM 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Daily data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,,10 Year Average Natural Snow Depth,2017 Natural Snow Depth,2017 Average depth in snow-making area,NO SNOW MAKING,2016 Natural Snow Depth,2016 Average depth in snow-making area,NO SNOW MAKING,2015 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2014 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2013 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2012 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2011 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2010 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2009 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2008 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2007 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2006 Natural Snow Depth,NO SNOW MAKING,NO SNOW MAKING,2005,NO SNOW MAKING,NO SNOW MAKING,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,28/7,,43,17,0,,55,,,50,,,100,,,25,,,23,,,40,,,7,,,28,,,55,,,46,,,0,,,10,,,46,45,80,4,70,15,0,10,30,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jul,29/7,,40,18,0,,56,,,44,,,100,,,11,,,23,,,40,,,7,,,23,,,56,,,41,,,0,,,10,,,58,50,75,2,70,15,45,10,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jul,30/7,,40,17,0,,56,,,44,,,100,,,9,,,23,,,39,,,6,,,28,,,56,,,41,,,0,,,10,,,58,70,70,4,55,20,50,13,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jul,31/7,31-Jul,39,16,0,,54,,,45,,,90,,,9,,,25,,,39,,,6,,,28,,,56,,,41,,,0,,,10,,,60,75,70,4,55,23,51,10,20,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,1/8,,40,14,0,,56,,,45,,,100,,,5,,,25,,,39,,,4,,,25,,,56,,,41,,,10,,,7,,,60,60,75,1,55,22,50,10,18,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aug,2/8,,38,13,0,,50,,,46,,,100,,,5,,,22,,,30,,,7,,,25,,,56,,,40,,,10,,,7,,,59,60,75,14,50,20,50,10,30,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Aug,3/8,,41,13,0,,50,,,53,,,100,,,5,,,22,,,25,,,20,,,25,,,70,,,40,,,10,,,3,,,59,60,75,14,50,20,40,10,30,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug,4/8,,43,13,0,,50,,,53,,,100,,,25,,,22,,,23,,,18,,,25,,,70,,,40,,,12,,,2,,,78,55,70,10,50,18,40,10,30,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Aug,5/8,,42,16,0,,50,,,60,,,95,,,26,,,25,,,13,,,15,,,25,,,70,,,37,,,12,,,7,,,83,55,70,3,45,20,40,10,30,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Aug,6/8,,42,26,0,,48,,,66,,,95,,,20,,,25,,,13,,,19,,,25,,,70,,,41,,,12,,,13,,,93,50,65,3,45,20,25,10,50,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Aug,7/8,7-Aug,43,45,0,,48,,,66,,,95,,,20,,,27,,,10,,,22,,,25,,,70,,,47,,,12,,,7,,,95,50,65,13,37,20,22,5,60,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,8/8,,45,56,0,,48,,,66,,,95,,,43,,,27,,,4,,,24,,,25,,,70,,,47,,,7,,,10,,,91,50,65,20,35,15,13,15,70,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug,9/8,,44,60,0,,46,,,60,,,90,,,43,,,27,,,12,,,24,,,25,,,70,,,45,,,7,,,10,,,90,50,65,20,30,32,13,39,80,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,10/8,,44,61,0,,46,,,61,,,87,,,45,,,20,,,13,,,15,,,25,,,80,,,45,,,10,,,10,,,90,50,65,22,45,32,16,35,80,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug,11/8,,46,61,0,,46,,,62,,,87,,,41,,,20,,,23,,,15,,,27,,,90,,,45,,,10,,,30,,,91,50,60,22,45,28,13,30,70,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug,12/8,,46,50,0,,52,,,62,,,82,,,41,,,20,,,30,,,15,,,25,,,90,,,45,,,0,,,36,,,86,55,60,30,45,28,10,45,65,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Aug,13/8,,47,40,0,,54,,,69,,,82,,,45,,,20,,,10,,,30,,,25,,,90,,,40,,,0,,,35,,,90,55,55,27,48,38,10,45,60,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug,14/8,14-Aug,46,36,0,,58,,,69,,,82,,,45,,,20,,,10,,,30,,,20,,,90,,,40,,,0,,,35,,,102,45,75,20,50,50,8,52,55,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Aug,15/8,,46,31,0,,52,,,61,,,82,,,45,,,20,,,8,,,35,,,20,,,95,,,40,,,0,,,35,,,102,47,75,15,70,55,8,52,55,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Aug,16/8,,46,25,0,,50,,,54,,,80,,,45,,,20,,,17,,,35,,,20,,,95,,,40,,,0,,,35,,,125,45,70,15,80,50,8,50,50,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,17/8,,44,21,0,,47,,,54,,,80,,,47,,,22,,,15,,,30,,,17,,,95,,,35,,,5,,,36,,,125,45,70,15,80,50,15,45,50,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug,18/8,,46,27,0,,47,,,56,,,79,,,47,,,30,,,18,,,37,,,17,,,90,,,35,,,5,,,30,,,100,40,65,27,80,45,20,50,50,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug,19/8,,45,40,0,,40,,,64,,,75,,,52,,,35,,,8,,,34,,,19,,,90,,,32,,,5,,,30,,,100,45,65,27,70,43,15,34,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug,20/8,,46,47,0,,40,,,64,,,71,,,62,,,35,,,8,,,42,,,17,,,90,,,30,,,5,,,28,,,105,45,65,23,62,45,10,55,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
